TS,NDVI lowess MODIS,NDVI lowess S2,NDVI lowess L8,NDVI lowess NSRS_1,NDVI lowess NSRS_2,NDVI lowess NSRS_3,NDVI lowess NSRS_1_B,NDVI lowess NSRS_2_B,NDVI lowess NSRS_3_B,TEMP IMS,RAINFALL[mm] 121702 IMS,RAINFALL[mm] 121710 IMS
1579392000,,,,0.6047178184020348,0.6642886748045205,0.6283649073033671,,,,12.9,31.3,36.7
1579478400,,,,0.6077394657886798,0.6678511030440919,0.635610317997179,,,,13.2,12.1,12.0
1579564800,,,,0.6113229958439605,,0.6431119853435266,,,,12.8,13.9,14.0
1579651200,,,,0.6150193445037885,0.6722366643697019,,,,,12.7,0.1,0.2
1579737600,,,,0.618254376240693,,,,,,15.8,12.2,16.0
1579824000,0.6745962334561696,,,0.6223552319959805,0.6735213192224322,,,,,13.8,1.2,1.1
1579910400,,,,0.6267123761046036,,,,,,14.4,,
1579996800,,0.7107683606895415,,0.6313148824213995,,,,,,14.8,,
1580083200,0.6775691505510145,,,0.6360628672199501,,,,,,16.8,,
1580169600,,,,0.6405665334987474,,,,,,16.8,0.9,1.5
1580256000,,,,0.6450347314866185,0.6735651342845075,,,,,17.2,2.7,4.0
1580342400,,,,0.6498086935811529,,0.6784971898911232,,,,17.1,1.9,3.9
1580428800,0.6827542290092995,,,0.6553681817417937,,0.6815007893218789,,,,16.2,,
1580515200,,,,0.6610456837813455,,,,,,16.8,2.7,2.5
1580601600,,,,0.6666049277538271,0.6735602009817693,0.6872750194041671,,,,17.1,,
1580688000,0.6852110335417572,,,0.6719709114482492,,0.6901193450637654,,,,17.9,,
1580774400,,,,0.6771948670472043,,0.6929634076236664,,,,16.9,,
1580860800,0.685976386830204,0.7098682792648296,,0.6823533720235846,,0.6958197479671354,,,,19.2,,
1580947200,,,,0.6874909897348903,,0.6986998904151629,,,,21.8,1.6,2.1
1581033600,,,,0.6926195022452413,,,,,,15.7,9.8,7.0
1581120000,,,,0.6977727400865907,0.6735066185144228,0.7044301003881734,,,,13.3,8.1,5.8
1581206400,,,,0.7029621572088335,,0.7072433691001644,,,,11.0,2.4,0.4
1581292800,,,,0.7082409296145198,0.6733010465834324,0.7100568929661595,,,,11.2,,
1581379200,,,,0.7136520912677814,,0.7129511733667875,,,,11.2,20.7,17.1
1581465600,,,,0.7192322992670526,0.6726399637483581,0.7158246371083635,,,,16.1,6.7,6.5
1581552000,,,,0.724962041384092,,0.7186203737245418,,,,18.1,,
1581638400,,,,0.7307538039601975,,0.7211964146271117,,,,15.8,,
1581724800,,,,0.7365056333324159,,0.7236988920736208,,,,19.0,,
1581811200,0.6853850298145059,,,0.7420781603211247,,0.7262141499122342,,,,18.7,,
1581897600,,,,0.7473135134969984,0.6712763774121199,0.7283616976576308,,,,17.9,,
1581984000,,,,0.7521523074356692,,0.7311296603906713,,,,18.9,1.5,2.4
1582070400,,,,0.7565928075486069,0.6712606563252704,0.7341134387323821,,,,15.2,4.6,2.8
1582156800,,,,0.7606443247128463,,0.737253678269287,,,,17.4,,
1582243200,,,,0.7643603366753746,0.6713775376417862,0.7404274434600583,,,,18.4,7.5,7.8
1582329600,,,,0.7678331285142836,,0.7435063844792084,,,,17.0,3.7,4.0
1582416000,,,,0.7710136553287288,0.6719035250349529,0.7464450107320038,,,,16.4,,
1582502400,,,,0.7737948762800712,0.672186986310629,0.7492332274177212,,,,18.3,0.2,0.2
1582588800,,,,0.7761154739307905,0.6724491984169765,0.751860108129204,,,,16.4,1.0,3.3
1582675200,,,,0.7779372497915833,0.6727330641808195,0.7543195274314534,,,,17.6,,
1582761600,,,,0.7792164922831758,0.6730080487231088,0.7565899164818158,,,,20.5,,
1582848000,,,,0.7798618428747303,0.6732266502465551,0.7586303491530254,,,,19.5,,
1582934400,0.6837969946964089,,,0.7799075449692311,0.6734474640162922,0.7603964938690748,,,,17.3,12.3,15.0
1583020800,0.6836882729387552,,,0.7794449507622828,0.6736104743512854,0.7618567368854267,,,,16.8,1.0,0.8
1583107200,,,,0.778538861512347,0.6737428624233723,0.7629912611745996,,,,17.1,,
1583193600,0.6832784926045561,,,0.7772217394318989,0.6738795399933984,0.7637820571787506,,,,20.8,,
1583280000,0.6829656759648389,,,0.7755349269386997,0.6739611526736206,0.7642272116149549,,,,26.2,,
1583366400,,,,0.7735829158335762,,0.7643462599263463,,,,26.6,0.1,
1583452800,,,,0.7714948824516976,0.6739834084358666,0.7641625844068309,,,,17.8,5.5,2.8
1583539200,0.6819715969104873,,,0.76937936241119,0.6740054868823129,0.7637130658639013,,,,17.9,,
1583625600,0.6816150737491276,,0.734,0.767237039320715,0.6740582557699607,0.7630041653898572,,,,22.6,,
1583712000,,,,0.7649737623159993,0.6742361840474087,0.7619908340279897,,,,27.5,,
1583798400,,,,0.7624942693229508,0.674358411500567,0.7606540617301476,,,,20.8,,
1583884800,,0.7093478439234042,,0.7597322223263159,0.6742992136820062,0.7589720937727323,,,,21.1,,
1583971200,0.6804651061239785,,,0.7565963879613463,0.6741702668660036,0.756956833567141,,,,28.8,16.2,16.9
1584057600,,,,0.7529888691936931,0.6741396317762727,0.7546249995958669,,,,23.4,15.4,17.4
1584144000,,,,0.7488585002315129,0.673908249787375,0.7519958627063145,,,,16.4,5.0,5.0
1584230400,,,,0.7441749794332704,0.6737564424550264,0.7490883979365962,,,,18.8,,
1584316800,0.6795702994773075,0.7094091549555052,,0.7389111515226767,0.6735489742347138,0.7459017949500674,,,,19.9,,
1584403200,,,,0.7330532410300289,0.6733358654842745,0.742420783827243,,,,17.0,22.3,18.5
1584489600,,,,0.7265134145456096,0.6731868065295292,0.7386386878926336,,,,15.1,0.1,
1584576000,,,,0.7177581182432881,0.6731555805021465,0.734604907703192,,,,15.9,7.1,4.8
1584662400,0.6778217961871643,,,0.7087468413237681,0.6732567098347733,0.7304421957761161,,,,15.0,39.5,31.0
1584748800,,,,0.6997759312024942,0.6734847420687595,0.7263150760937788,,,,13.7,1.7,1.6
1584835200,0.6764525177623977,,,0.691587537623314,0.6738219223897752,0.7223336071801926,,,,17.2,,
1584921600,,,,0.6829798868744624,0.6739212433907593,0.7184936875047456,,,,21.2,,
1585008000,,,,0.6739162447311867,0.6744093709570538,0.7147467807188215,,,,18.7,,
1585094400,,,,0.6646444569667181,0.6749207072791722,0.7110290723381023,,,,18.0,,
1585180800,,,,0.6561692338075764,,0.7072715245437952,,,,23.8,0.1,0.1
1585267200,,,,0.6482200587666817,,0.7034295811134604,,,,24.1,,
1585353600,,,,0.6404627892048882,,0.6995067313069848,,,,18.7,,
1585440000,,,,0.6327109039788301,0.6773004312016979,0.6955740040597689,,,,18.1,,
1585526400,,,,,,0.692263455636158,,,,23.1,,
1585612800,,,,0.6169792874076796,,0.688609863347183,,,,26.8,6.3,6.9
1585699200,,,,0.608987366252498,0.6796777554131979,0.6856576582345231,,,,17.9,0.4,0.5
1585785600,,,,0.6009316021149962,0.6805291449128671,0.6828422506661687,,,,18.7,,
1585872000,,,,,0.6814238531247419,0.6801071814719201,,,,20.3,,
1585958400,,,,,0.6823723982718071,0.6774208631658671,,,,28.5,,
1586044800,,,,,0.6833773247537197,0.6747681553615946,,,,28.8,,
1586131200,,,,,0.6844239954326625,0.672141425831217,,,,20.1,,
1586217600,0.6582278120370352,,,,0.685208884332814,0.6695376390471738,,,,19.1,,
1586304000,,,,,0.6860604772546504,0.6669552537533247,,,,18.8,,
1586390400,,,,0.5444743196777105,0.6865165715608768,0.6643939828707385,,,,18.7,1.0,12.3
1586476800,,,,0.5366198731495303,0.6868877315963855,,,,,17.7,7.7,10.1
1586563200,,,,0.5288578883363747,0.6872195310246868,0.6593406642836919,,,,18.9,,
1586649600,,,,,0.6875318908400477,0.656853100061046,,,,19.0,,
1586736000,0.650077556650638,,,,0.687832044627858,0.6543933781710255,,,,19.9,,
1586822400,0.6486879621172781,,,,0.6881212252588722,,,,,22.1,,
1586908800,0.6471729861325253,,,,0.6883981334499374,,,,,21.7,,
