DATE,GCC_RAW
"Mar 9, 2014",0.333
"Mar 10, 2014",0.331
"Mar 11, 2014",0.377
"Mar 12, 2014",0.331
"Mar 13, 2014",0.336
"Mar 14, 2014",0.333
"Mar 15, 2014",0.335
"Mar 16, 2014",0.388
"Mar 17, 2014",0.33
"Mar 18, 2014",0.337
"Mar 19, 2014",0.381
"Mar 20, 2014",0.393
"Mar 21, 2014",0.392
"Mar 22, 2014",0.396
"Mar 23, 2014",0.381
"Mar 24, 2014",0.35
"Mar 25, 2014",0.336
"Mar 26, 2014",0.394
"Mar 27, 2014",0.391
"Mar 28, 2014",0.389
"Mar 29, 2014",0.39
"Mar 30, 2014",0.349
"Mar 31, 2014",0.394
"Apr 1, 2014",0.378
"Apr 2, 2014",0.382
"Apr 3, 2014",0.381
"Apr 4, 2014",0.388
"Apr 5, 2014",0.395
"Apr 6, 2014",0.387
"Apr 7, 2014",0.349
"Apr 8, 2014",0.388
"Apr 9, 2014",0.388
"Apr 10, 2014",0.381
"Apr 11, 2014",0.385
"Apr 12, 2014",0.357
"Apr 13, 2014",0.358
"Apr 14, 2014",0.385
"Apr 15, 2014",0.335
"Apr 16, 2014",0.38
"Apr 17, 2014",0.375
"Apr 18, 2014",0.384
"Apr 19, 2014",0.338
"Apr 20, 2014",0.337
"Apr 21, 2014",0.379
"Apr 22, 2014",0.374
"Apr 23, 2014",0.366
"Apr 24, 2014",0.363
"Apr 25, 2014",0.338
"Apr 26, 2014",0.365
"Apr 27, 2014",0.371
"Apr 28, 2014",0.368
"Apr 29, 2014",0.364
"Apr 30, 2014",0.368
"May 1, 2014",0.362
"May 2, 2014",0.372
"May 3, 2014",0.36
"May 4, 2014",0.362
"May 5, 2014",0.334
"May 6, 2014",0.331
"May 7, 2014",0.342
"May 8, 2014",0.332
"May 9, 2014",0.352
"May 10, 2014",0.351
"May 11, 2014",0.367
"May 12, 2014",0.333
"May 13, 2014",0.331
"May 14, 2014",0.369
"May 15, 2014",0.37
"May 16, 2014",0.34
"May 17, 2014",0.362
"May 18, 2014",0.368
"May 19, 2014",0.363
"May 20, 2014",0.361
"May 21, 2014",0.366
"May 22, 2014",0.36
"May 23, 2014",0.364
"May 24, 2014",0.365
"May 25, 2014",0.367
"May 26, 2014",0.359
"May 27, 2014",0.363
"May 28, 2014",0.362
"May 29, 2014",0.356
"May 30, 2014",0.365
"May 31, 2014",0.336
"Jun 1, 2014",0.336
"Jun 2, 2014",0.375
"Jun 3, 2014",0.365
"Jun 4, 2014",0.36
"Jun 5, 2014",0.337
"Jun 6, 2014",0.338
"Jun 7, 2014",0.325
"Jun 8, 2014",0.363
"Jun 9, 2014",0.353
"Jun 10, 2014",0.364
"Jun 11, 2014",0.349
"Jun 12, 2014",0.362
"Jun 13, 2014",0.355
"Jun 14, 2014",0.349
"Jun 15, 2014",0.357
"Jun 16, 2014",0.356
"Jun 17, 2014",0.36
"Jun 18, 2014",0.351
"Jun 19, 2014",0.362
"Jun 20, 2014",0.349
"Jun 21, 2014",0.348
"Jun 22, 2014",0.355
"Jun 23, 2014",0.353
"Jun 24, 2014",0.358
"Jun 25, 2014",0.344
"Jun 26, 2014",0.355
"Jun 27, 2014",0.351
"Jun 28, 2014",0.357
"Jun 29, 2014",0.35
"Jun 30, 2014",0.354
"Jul 1, 2014",0.353
"Jul 2, 2014",0.351
"Jul 3, 2014",0.355
"Jul 4, 2014",0.347
"Jul 5, 2014",0.357
"Jul 6, 2014",0.344
"Jul 7, 2014",0.35
"Jul 8, 2014",0.353
"Jul 9, 2014",0.348
"Jul 10, 2014",0.351
"Jul 11, 2014",0.346
"Jul 12, 2014",0.357
"Jul 13, 2014",0.347
"Jul 14, 2014",0.352
"Jul 15, 2014",0.349
"Jul 16, 2014",0.354
"Jul 17, 2014",0.351
"Jul 18, 2014",0.35
"Jul 19, 2014",0.344
"Jul 20, 2014",0.327
"Jul 21, 2014",0.334
"Jul 22, 2014",0.344
"Jul 23, 2014",0.356
"Jul 24, 2014",0.349
"Jul 25, 2014",0.349
"Jul 26, 2014",0.35
"Jul 27, 2014",0.349
"Jul 28, 2014",0.354
"Jul 29, 2014",0.344
"Jul 30, 2014",0.357
"Jul 31, 2014",0.345
"Aug 1, 2014",0.348
"Aug 2, 2014",0.348
"Aug 3, 2014",0.335
"Aug 4, 2014",0.337
"Aug 5, 2014",0.336
"Aug 6, 2014",0.357
