DATE,GCC_RAW
"Apr 25, 2019",0.343
"Apr 26, 2019",0.342
"Apr 28, 2019",0.34
"Apr 30, 2019",0.34
"May 3, 2019",0.339
"May 5, 2019",0.336
"May 6, 2019",0.338
"May 12, 2019",0.337
"May 13, 2019",0.337
"May 14, 2019",0.337
"May 15, 2019",0.337
"May 16, 2019",0.337
"May 17, 2019",0.335
"May 18, 2019",0.336
"May 20, 2019",0.338
"May 21, 2019",0.335
"May 22, 2019",0.335
"May 23, 2019",0.336
"May 24, 2019",0.339
"May 25, 2019",0.339
"May 26, 2019",0.335
"May 27, 2019",0.335
"May 29, 2019",0.335
"May 30, 2019",0.335
"Jun 1, 2019",0.336
